"date","aud_price"
"2020-11-13","0.998644"
"2020-11-16","1.000813"
"2020-11-17","0.995069"
"2020-11-18","1.000868"
"2020-11-19","0.995409"
"2020-11-20","1.007657"
"2020-11-23","1.010115"
"2020-11-24","1.015798"
"2020-11-25","1.012207"
"2020-11-26","1.017024"
"2020-11-27","1.017424"
"2020-11-30","1.028779"
"2020-12-01","1.034852"
"2020-12-02","1.031411"
"2020-12-03","1.025213"
"2020-12-04","1.023182"
"2020-12-07","1.026394"
"2020-12-08","1.031991"
"2020-12-09","1.038374"
"2020-12-10","1.017879"
"2020-12-11","1.014880"
"2020-12-14","1.014985"
"2020-12-15","1.018309"
"2020-12-16","1.028723"
"2020-12-17","1.033653"
"2020-12-18","1.039987"
"2020-12-21","1.043906"
"2020-12-22","1.048536"
"2020-12-23","1.061821"
"2020-12-24","1.049006"
"2020-12-29","1.051496"
"2020-12-30","1.043563"
"2020-12-31","1.044266"
"2021-01-04","1.042557"
"2021-01-05","1.040120"
"2021-01-06","1.036889"
"2021-01-07","1.031035"
"2021-01-08","1.057206"
"2021-01-11","1.069108"
"2021-01-12","1.071696"
"2021-01-13","1.066468"
"2021-01-14","1.072705"
"2021-01-15","1.064394"
"2021-01-18","1.058780"
"2021-01-19","1.064294"
"2021-01-20","1.075463"
"2021-01-21","1.082627"
"2021-01-22","1.086391"
"2021-01-25","1.090187"
"2021-01-27","1.083380"
"2021-01-28","1.054982"
"2021-01-29","1.070663"
"2021-02-01","1.058833"
"2021-02-02","1.078714"
"2021-02-03","1.097531"
"2021-02-04","1.098714"
"2021-02-05","1.107611"
"2021-02-08","1.104311"
"2021-02-09","1.111470"
"2021-02-10","1.110651"
"2021-02-11","1.114789"
"2021-02-12","1.127081"
"2021-02-15","1.136219"
"2021-02-16","1.135163"
"2021-02-17","1.138764"
"2021-02-18","1.121906"
"2021-02-19","1.113057"
"2021-02-22","1.105064"
"2021-02-23","1.073580"
"2021-02-24","1.066639"
"2021-02-25","1.057912"
"2021-02-26","1.044678"
"2021-03-01","1.060334"
"2021-03-02","1.079227"
"2021-03-03","1.063829"
"2021-03-04","1.031049"
"2021-03-05","1.003311"
"2021-03-08","1.005613"
"2021-03-09","0.983772"
"2021-03-10","1.009287"
"2021-03-11","1.010204"
"2021-03-12","1.037030"
"2021-03-15","1.037314"
"2021-03-16","1.044534"
"2021-03-17","1.049762"
"2021-03-18","1.043820"
"2021-03-19","1.024290"
"2021-03-22","1.027646"
"2021-03-23","1.038184"
"2021-03-24","1.047196"
"2021-03-25","1.032542"
"2021-03-26","1.027158"
"2021-03-29","1.043524"
"2021-03-30","1.036442"
"2021-03-31","1.048691"
"2021-04-01","1.066681"
"2021-04-06","1.083483"
"2021-04-07","1.090511"
"2021-04-08","1.091063"
"2021-04-09","1.100547"
"2021-04-12","1.106843"
"2021-04-13","1.103500"
"2021-04-14","1.117088"
"2021-04-15","1.100462"
"2021-04-16","1.108792"
"2021-04-19","1.115021"
"2021-04-20","1.098218"
"2021-04-21","1.092073"
"2021-04-22","1.102933"
"2021-04-23","1.114984"
"2021-04-26","1.127275"
"2021-04-27","1.125900"
"2021-04-28","1.129231"
"2021-04-29","1.124345"
"2021-04-30","1.122024"
"2021-05-03","1.113911"
"2021-05-04","1.098132"
"2021-05-05","1.081829"
"2021-05-06","1.075053"
"2021-05-07","1.055607"
"2021-05-10","1.061198"
"2021-05-11","1.042412"
"2021-05-12","1.036073"
"2021-05-13","1.024664"
"2021-05-14","1.014596"
"2021-05-17","1.031957"
"2021-05-18","1.029072"
"2021-05-19","1.031321"
"2021-05-20","1.036534"
"2021-05-21","1.054881"
"2021-05-24","1.064331"
"2021-05-25","1.074129"
"2021-05-26","1.082613"
"2021-05-27","1.091562"
"2021-05-28","1.090229"
"2021-05-31","1.098455"
"2021-06-01","1.096474"
"2021-06-02","1.092672"
"2021-06-03","1.093902"
"2021-06-04","1.092544"
"2021-06-07","1.092218"
"2021-06-08","1.095754"
"2021-06-09","1.100745"
"2021-06-10","1.099918"
"2021-06-11","1.112655"
"2021-06-15","1.124186"
"2021-06-16","1.132891"
"2021-06-17","1.143782"
"2021-06-18","1.171507"
"2021-06-21","1.179440"
"2021-06-22","1.177529"
"2021-06-23","1.186412"
"2021-06-24","1.184176"
"2021-06-25","1.192889"
"2021-06-28","1.198295"
"2021-06-29","1.217470"
"2021-06-30","1.230760"
"2021-07-01","1.223350"
"2021-07-02","1.225540"
"2021-07-05","1.223392"
"2021-07-06","1.221100"
"2021-07-07","1.228856"
"2021-07-08","1.228124"
"2021-07-09","1.224490"
"2021-07-12","1.226206"
"2021-07-13","1.232524"
