"date","aud_price"
"2018-05-15","0.9961"
"2018-05-16","0.9959"
"2018-05-17","0.9949"
"2018-05-18","0.9934"
"2018-05-19","0.9914"
"2018-05-20","0.9914"
"2018-05-21","0.9913"
"2018-05-22","0.9896"
"2018-05-23","0.9852"
"2018-05-24","0.9864"
"2018-05-25","0.9827"
"2018-05-26","0.9818"
"2018-05-27","0.9818"
"2018-05-28","0.9818"
"2018-05-29","0.9798"
"2018-05-30","0.9744"
"2018-05-31","0.9784"
"2018-06-01","0.9758"
"2018-06-02","0.9819"
"2018-06-03","0.9819"
"2018-06-04","0.9831"
"2018-06-05","0.9799"
"2018-06-06","0.9825"
"2018-06-07","0.9838"
"2018-06-08","0.9855"
"2018-06-09","0.9890"
"2018-06-10","0.9890"
"2018-06-11","0.9890"
"2018-06-12","0.9890"
"2018-06-13","0.9898"
"2018-06-14","0.9878"
"2018-06-15","0.9943"
"2018-06-16","1.0003"
"2018-06-17","1.0003"
"2018-06-18","1.0006"
"2018-06-19","1.0010"
"2018-06-20","1.0014"
"2018-06-21","1.0031"
"2018-06-22","0.9978"
"2018-06-23","0.9976"
"2018-06-24","0.9976"
"2018-06-25","0.9973"
"2018-06-26","0.9897"
"2018-06-27","0.9907"
"2018-06-28","0.9884"
"2018-06-29","0.9932"
"2018-06-30","0.9923"
"2018-07-01","0.9909"
"2018-07-02","0.9907"
"2018-07-03","0.9980"
"2018-07-04","0.9909"
"2018-07-05","0.9923"
"2018-07-06","0.9974"
"2018-07-07","0.9998"
"2018-07-08","0.9994"
"2018-07-09","0.9974"
"2018-07-10","1.0023"
"2018-07-11","1.0062"
"2018-07-12","1.0044"
"2018-07-13","1.0094"
"2018-07-14","1.0093"
"2018-07-15","1.0093"
"2018-07-16","1.0094"
"2018-07-17","1.0085"
"2018-07-18","1.0125"
"2018-07-19","1.0116"
"2018-07-20","1.0164"
"2018-07-21","1.0117"
"2018-07-22","1.0108"
"2018-07-23","1.0104"
"2018-07-24","1.0156"
"2018-07-25","1.0184"
"2018-07-26","1.0199"
"2018-07-27","1.0249"
"2018-07-28","1.0217"
"2018-07-29","1.0218"
"2018-07-30","1.0223"
"2018-07-31","1.0174"
"2018-08-01","1.0211"
"2018-08-02","1.0198"
"2018-08-03","1.0221"
"2018-08-04","1.0213"
"2018-08-05","1.0227"
"2018-08-06","1.0235"
"2018-08-07","1.0241"
"2018-08-08","1.0240"
"2018-08-09","1.0258"
"2018-08-10","1.0264"
"2018-08-11","1.0268"
"2018-08-12","1.0279"
"2018-08-13","1.0292"
"2018-08-14","1.0284"
"2018-08-15","1.0346"
"2018-08-16","1.0236"
"2018-08-17","1.0286"
"2018-08-18","1.0273"
"2018-08-19","1.0273"
"2018-08-20","1.0283"
"2018-08-21","1.0274"
"2018-08-22","1.0311"
"2018-08-23","1.0354"
"2018-08-24","1.0398"
"2018-08-25","1.0360"
