"date","aud_price"
"2018-05-15","0.9988"
"2018-05-16","0.9979"
"2018-05-17","0.9984"
"2018-05-18","0.9950"
"2018-05-19","0.9925"
"2018-05-20","0.9925"
"2018-05-21","0.9942"
"2018-05-22","0.9922"
"2018-05-23","0.9872"
"2018-05-24","0.9943"
"2018-05-25","0.9931"
"2018-05-26","0.9943"
"2018-05-27","0.9943"
"2018-05-28","0.9944"
"2018-05-29","0.9934"
"2018-05-30","0.9910"
"2018-05-31","0.9932"
"2018-06-01","0.9927"
"2018-06-02","1.0006"
"2018-06-03","1.0006"
"2018-06-04","1.0011"
"2018-06-05","1.0030"
"2018-06-06","1.0068"
"2018-06-07","1.0097"
"2018-06-08","1.0080"
"2018-06-09","1.0110"
"2018-06-10","1.0110"
"2018-06-11","1.0110"
"2018-06-12","1.0134"
"2018-06-13","1.0169"
"2018-06-14","1.0152"
"2018-06-15","1.0246"
"2018-06-16","1.0305"
"2018-06-17","1.0305"
"2018-06-18","1.0308"
"2018-06-19","1.0313"
"2018-06-20","1.0314"
"2018-06-21","1.0373"
"2018-06-22","1.0293"
"2018-06-23","1.0243"
"2018-06-24","1.0243"
"2018-06-25","1.0220"
"2018-06-26","1.0075"
"2018-06-27","1.0118"
"2018-06-28","1.0011"
"2018-06-29","1.0091"
"2018-06-30","1.0080"
"2018-07-01","1.0072"
"2018-07-02","1.0070"
"2018-07-03","1.0178"
"2018-07-04","1.0045"
"2018-07-05","1.0046"
"2018-07-06","1.0095"
"2018-07-07","1.0147"
"2018-07-08","1.0142"
"2018-07-09","1.0126"
"2018-07-10","1.0181"
"2018-07-11","1.0184"
"2018-07-12","1.0222"
"2018-07-13","1.0345"
"2018-07-14","1.0337"
"2018-07-15","1.0337"
"2018-07-16","1.0340"
"2018-07-17","1.0311"
"2018-07-18","1.0390"
"2018-07-19","1.0395"
"2018-07-20","1.0426"
"2018-07-21","1.0364"
"2018-07-22","1.0355"
"2018-07-23","1.0341"
"2018-07-24","1.0379"
"2018-07-25","1.0346"
"2018-07-26","1.0411"
"2018-07-27","1.0412"
"2018-07-28","1.0289"
"2018-07-29","1.0289"
"2018-07-30","1.0279"
"2018-07-31","1.0091"
"2018-08-01","1.0133"
"2018-08-02","1.0145"
"2018-08-03","1.0276"
"2018-08-04","1.0249"
"2018-08-05","1.0262"
"2018-08-06","1.0249"
"2018-08-07","1.0274"
"2018-08-08","1.0276"
"2018-08-09","1.0289"
"2018-08-10","1.0329"
"2018-08-11","1.0353"
"2018-08-12","1.0364"
"2018-08-13","1.0386"
"2018-08-14","1.0397"
"2018-08-15","1.0486"
"2018-08-16","1.0334"
"2018-08-17","1.0353"
"2018-08-18","1.0306"
"2018-08-19","1.0306"
"2018-08-20","1.0311"
"2018-08-21","1.0329"
"2018-08-22","1.0463"
"2018-08-23","1.0574"
"2018-08-24","1.0613"
"2018-08-25","1.0674"
"2018-08-26","1.0640"
"2018-08-27","1.0668"
"2018-08-28","1.0749"
"2018-08-29","1.0744"
"2018-08-30","1.0866"
"2018-08-31","1.0809"
"2018-09-01","1.0852"
"2018-09-02","1.0885"
"2018-09-03","1.0886"
"2018-09-04","1.0873"
"2018-09-05","1.0811"
"2018-09-06","1.0585"
"2018-09-07","1.0563"
"2018-09-08","1.0637"
"2018-09-09","1.0637"
"2018-09-10","1.0654"
"2018-09-11","1.0671"
"2018-09-12","1.0716"
"2018-09-13","1.0655"
"2018-09-14","1.0737"
"2018-09-15","1.0780"
"2018-09-16","1.0776"
"2018-09-17","1.0787"
"2018-09-18","1.0627"
"2018-09-19","1.0632"
"2018-09-20","1.0618"
"2018-09-24","1.0674"
